Owner_Name,Account_Name,Stage,Closing_Date,Amount,Close_Month,Close_Year,Year,Month,Month_Name,Day_of_Week,Quarter
Moses Frase,Cancity,Won,2017-03-01,1054.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Darcel Schlecht,Isdom,Won,2017-03-11,4514.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Darcel Schlecht,Cancity,Won,2017-03-07,50.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Moses Frase,Codehow,Won,2017-03-09,588.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Zane Levy,Hatfan,Won,2017-03-02,517.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Anna Snelling,Ron-tech,Won,2017-03-01,49.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Vicki Laflamme,J-Texon,Won,2017-03-02,57.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Markita Hansen,Cheers,Won,2017-03-07,601.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Niesha Huffines,Zumgoity,Won,2017-03-03,1026.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
James Ascencio,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Anna Snelling,Bioholding,Won,2017-03-10,53.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Gladys Colclough,Genco Pura Olive Oil Company,Lost,2017-03-18,0.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
James Ascencio,Sunnamplex,Won,2017-03-10,5169.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Maureen Marcano,Sonron,Won,2017-03-06,4631.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Hayden Neloms,Finjob,Won,2017-03-11,3393.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Rosalina Dieter,Sonron,Lost,2017-03-03,0.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Rosalina Dieter,Scotfind,Won,2017-03-06,3284.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Versie Hillebrand,Treequote,Won,2017-03-05,61.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Daniell Hammack,Xx-zobam,Lost,2017-03-09,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Elease Gluck,Rantouch,Won,2017-03-08,46.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
James Ascencio,Fasehatice,Lost,2017-03-17,0.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Moses Frase,Ron-tech,Won,2017-03-18,50.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Violet Mclelland,Vehement Capital Partners,Won,2017-03-11,1014.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Darcel Schlecht,Warephase,Won,2017-03-26,561.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Kami Bicknell,Zoomit,Won,2017-03-23,590.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Maureen Marcano,Ganjaflex,Engaging,,472.0,-1.0,-1.0,,,,,
Versie Hillebrand,Bioholding,Won,2017-03-12,61.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Violet Mclelland,Xx-zobam,Lost,2017-03-11,0.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Elease Gluck,Cheers,Won,2017-03-05,58.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Maureen Marcano,Labdrill,Won,2017-03-14,4899.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Rosie Papadopoulos,Zotware,Lost,2017-03-01,0.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Versie Hillebrand,dambase,Won,2017-03-03,67.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
James Ascencio,Xx-holding,Won,2017-03-06,4338.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Kary Hendrixson,Fasehatice,Won,2017-03-19,578.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Reed Clapper,Acme Corporation,Won,2017-03-01,556.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Rosalina Dieter,Green-Plus,Won,2017-03-03,635.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Wilburn Farren,The New York Inquirer,Won,2017-03-07,3045.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Garret Kinder,Mathtouch,Won,2017-03-14,1233.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Versie Hillebrand,Zumgoity,Won,2017-03-09,60.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Anna Snelling,Gogozoom,Lost,2017-03-30,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Darcel Schlecht,Stanredtax,Lost,2017-03-08,0.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Darcel Schlecht,Konmatfix,Won,2017-03-20,1170.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Kami Bicknell,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Marty Freudenburg,Genco Pura Olive Oil Company,Won,2017-03-20,1162.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Cassey Cress,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Darcel Schlecht,Conecom,Won,2017-03-14,3725.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Kary Hendrixson,Golddex,Won,2017-03-31,559.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Rosalina Dieter,Plexzap,Lost,2017-03-11,0.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Darcel Schlecht,Rundofase,Lost,2017-03-21,0.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
James Ascencio,Sonron,Won,2017-03-05,4667.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Marty Freudenburg,Finhigh,Won,2017-03-17,903.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Maureen Marcano,Finjob,Won,2017-03-13,1180.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Niesha Huffines,Ron-tech,Won,2017-03-05,487.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Lajuana Vencill,Stanredtax,Won,2017-03-04,3180.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Darcel Schlecht,Funholding,Lost,2017-03-17,0.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Darcel Schlecht,Gogozoom,Won,2017-03-18,3563.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Kami Bicknell,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Boris Faz,Opentech,Won,2017-03-23,4704.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Donn Cantrell,Silis,Won,2017-03-14,5585.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Elease Gluck,Zoomit,Won,2017-03-09,25897.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Hayden Neloms,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Kami Bicknell,Goodsilron,Won,2017-03-03,1207.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Lajuana Vencill,Cancity,Lost,2017-03-08,0.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Lajuana Vencill,Rangreen,Won,2017-03-04,559.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Maureen Marcano,Green-Plus,Engaging,,472.0,-1.0,-1.0,,,,,
Niesha Huffines,dambase,Won,2017-03-09,1033.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Donn Cantrell,Kan-code,Won,2017-03-21,462.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Hayden Neloms,Nam-zim,Lost,2017-03-01,0.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Kary Hendrixson,Y-corporation,Won,2017-03-14,5539.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Lajuana Vencill,Ron-tech,Won,2017-03-15,3573.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Marty Freudenburg,Conecom,Won,2017-03-01,4926.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Zane Levy,Sunnamplex,Lost,2017-03-17,0.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Corliss Cosme,Bioplex,Won,2017-03-04,62.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Darcel Schlecht,Gogozoom,Won,2017-03-14,4359.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Kami Bicknell,Plusstrip,Won,2017-03-31,566.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Marty Freudenburg,Toughzap,Won,2017-03-03,508.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Rosie Papadopoulos,Vehement Capital Partners,Lost,2017-03-20,0.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Versie Hillebrand,Codehow,Won,2017-03-11,51.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Vicki Laflamme,Dalttechnology,Won,2017-03-05,4899.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Corliss Cosme,Cheers,Engaging,,472.0,-1.0,-1.0,,,,,
Corliss Cosme,Ontomedia,Won,2017-03-03,5790.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Donn Cantrell,Kinnamplus,Lost,2017-03-30,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Elease Gluck,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Gladys Colclough,Codehow,Won,2017-03-03,4438.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
